day,month,year,hour,minute,second,umid,temp,gX,gY,gZ
3,1,25,18,29,54,69,140,0,0,0
3,1,25,18,29,55,69,140,0,0,0
3,1,25,18,29,57,69,140,77,95,15
3,1,25,18,29,58,69,140,119,187,16
3,1,25,18,29,59,69,140,96,136,41
3,1,25,18,30,1,69,140,40,172,43
3,1,25,18,30,2,69,140,91,80,28
3,1,25,18,30,3,69,140,69,121,52
3,1,25,18,30,5,69,140,40,172,73
3,1,25,18,30,6,69,140,37,190,48
3,1,25,18,30,7,69,140,137,36,25
3,1,25,18,30,9,69,140,79,31,25
3,1,25,18,30,10,69,140,91,47,18
3,1,25,18,30,11,69,140,36,30,15
3,1,25,18,30,13,69,140,0,0,0
3,1,25,18,30,14,69,140,0,0,0
3,1,25,18,30,15,69,140,0,0,0
3,1,25,18,30,17,69,140,0,0,0
3,1,25,18,30,18,69,140,0,0,0
3,1,25,18,30,19,69,140,0,0,0
3,1,25,18,30,21,69,140,0,0,0
3,1,25,18,30,22,69,140,0,0,0
3,1,25,18,30,23,69,140,0,0,0
3,1,25,18,30,25,69,140,0,0,0
3,1,25,18,30,26,69,140,0,0,0
3,1,25,18,30,27,69,140,0,0,0
3,1,25,18,30,29,69,140,0,0,0
3,1,25,18,30,30,69,140,0,0,0
3,1,25,18,30,31,69,140,0,0,0
3,1,25,18,30,33,69,140,0,0,0
3,1,25,18,30,34,69,140,0,0,0
3,1,25,18,30,35,69,140,0,0,0
3,1,25,18,30,37,69,140,0,0,0
3,1,25,18,30,38,69,140,0,0,0
3,1,25,18,30,39,69,140,0,0,0
3,1,25,18,30,41,69,140,0,0,0
3,1,25,18,30,42,69,140,0,0,0
3,1,25,18,30,43,69,140,0,0,0
3,1,25,18,30,45,69,140,0,0,0
